City Name,Zone Name,Ward Name,Ward No,Total no of Households
Lucknow,Zone  2,AMBEDKAR NAGAR WARD,1,6452
Lucknow,Zone  8,RAJA BIJLI PAASI  II WARD,2,6374
Lucknow,Zone  8,RAJA BIJLI PAASI  I WARD,3,5267
Lucknow,Zone  5,SAROJINI NAGAR I WARD,4,5092
Lucknow,Zone  8,IBRAHIMPUR I WARD,5,6000
Lucknow,Zone  8,SHARDA NAGARI WARD,6,6300
Lucknow,Zone  7,SHAHEED BHAGAT SINGH WARD,7,8764
Lucknow,Zone  7,LAL BAHADUR SHASTRI  I WARD,8,5058
Lucknow,Zone  5,SAROJINI NAGAR II WARD,9,5550
Lucknow,Zone  2,MALVIYA NAGAR WARD,10,3154
Lucknow,Zone  5,HAIDERGANJ  III WARD,11,4955
Lucknow,Zone  8,SHARDA NAGARII WARD,12,6253
Lucknow,Zone  6,SAADATGANJ WARD,13,6648
Lucknow,Zone  8,IBRAHIMPUR II WARD,14,5974
Lucknow,Zone  5,BALAGANJ WARD,15,9361
Lucknow,Zone  2,JAANKIPURAM  I WARD,16,6521
Lucknow,Zone  5,HAIDERGANJ  II WARD,17,4800
Lucknow,Zone  2,AISHBAGH WARD,18,3486
Lucknow,Zone  5,GURU NANAK NAGAR WARD,19,5600
Lucknow,Zone  6,ALAM NAGAR WARD,20,6774
Lucknow,Zone  1,HAZRATGANJ WARD,21,6800
Lucknow,Zone  5,KESHRI KHEDA WARD,22,5675
Lucknow,Zone  4,PAPER MILL COLONY WARD,23,5139
Lucknow,Zone  1,LALKUAN WARD,24,3539
Lucknow,Zone  5,KANHAIYA MADHOPUR II WARD,25,5205
Lucknow,Zone  7,INDRA PRIYADARSHINI WARD,26,7033
Lucknow,Zone  1,VIKRAMADITYA WARD,27,3975
Lucknow,Zone  8,HIND NAGAR WARD,28,5364
Lucknow,Zone  5, SARDAR PATEL NAGAR WARD,29,4337
Lucknow,Zone  8,KHARIKA II WARD,30,3719
Lucknow,Zone  7,SHANKARPURVA II WARD,31,7246
Lucknow,Zone  3,DALIGANJ NIRALA NAGAR WARD,32,9000
Lucknow,Zone  1,RAJA RAM MOHAN ROY WARD,33,5575
Lucknow,Zone  2,TILAK NAGAR KUNDRI RAKABGANJ WARD,34,3219
